,date,name,wholesale,retail,mall
0,2024-05-01,Onion Big,25,29 - 32,30 - 41
1,2024-05-01,Onion Small,32,37 - 41,38 - 53
2,2024-05-01,Tomato,24,28 - 30,29 - 40
3,2024-05-01,Green Chilli,43,49 - 55,52 - 71
4,2024-05-01,Beetroot,37,43 - 47,44 - 61
5,2024-05-01,Potato,28,32 - 36,34 - 46
6,2024-05-01,Raw Banana (Plantain),9,10 - 11,11 - 15
7,2024-05-01,Amaranth Leaves,15,17 - 19,18 - 25
8,2024-05-01,Amla,60,69 - 76,72 - 99
9,2024-05-01,Ash gourd,24,28 - 30,29 - 40
10,2024-05-01,Baby Corn,53,61 - 67,64 - 87
11,2024-05-01,Banana Flower,17,20 - 22,20 - 28
12,2024-05-01,Capsicum,44,51 - 56,53 - 73
13,2024-05-01,Bitter Gourd,33,38 - 42,40 - 54
14,2024-05-01,Bottle Gourd,25,29 - 32,30 - 41
15,2024-05-01,Butter Beans,47,54 - 60,56 - 78
16,2024-05-01,Broad Beans,32,37 - 41,38 - 53
17,2024-05-01,Cabbage,22,25 - 28,26 - 36
18,2024-05-01,Carrot,46,53 - 58,55 - 76
19,2024-05-01,Cauliflower,27,31 - 34,32 - 45
20,2024-05-01,Cluster beans,43,49 - 55,52 - 71
21,2024-05-01,Coconut,38,44 - 48,46 - 63
22,2024-05-01,Colocasia Leaves,16,18 - 20,19 - 26
23,2024-05-01,Colocasia,26,30 - 33,31 - 43
24,2024-05-01,Coriander Leaves,8,9 - 10,10 - 13
25,2024-05-01,Corn,29,33 - 37,35 - 48
26,2024-05-01,Cucumber,25,29 - 32,30 - 41
27,2024-05-01,Curry Leaves,28,32 - 36,34 - 46
28,2024-05-01,Dill Leaves,13,15 - 17,16 - 21
29,2024-05-01,Drumsticks,40,46 - 51,48 - 66
30,2024-05-01,Brinjal,25,29 - 32,30 - 41
31,2024-05-01,Brinjal (Big),20,23 - 25,24 - 33
32,2024-05-01,Elephant Yam,25,29 - 32,30 - 41
33,2024-05-01,Fenugreek Leaves,11,13 - 14,13 - 18
34,2024-05-01,French Beans,52,60 - 66,62 - 86
35,2024-05-01,Garlic,159,183 - 202,191 - 262
36,2024-05-01,Ginger,116,133 - 147,139 - 191
37,2024-05-01,Onion Green,45,52 - 57,54 - 74
38,2024-05-01,Green Peas,42,48 - 53,50 - 69
39,2024-05-01,Ivy Gourd,25,29 - 32,30 - 41
40,2024-05-01,Lemon (Lime),66,76 - 84,79 - 109
41,2024-05-01,Mango Raw,24,28 - 30,29 - 40
42,2024-05-01,Mint Leaves,4,5 - 5,5 - 7
43,2024-05-01,Mushroom,83,95 - 105,100 - 137
44,2024-05-01,Mustard Leaves,18,21 - 23,22 - 30
45,2024-05-01,Ladies Finger,41,47 - 52,49 - 68
46,2024-05-01,Pumpkin,20,23 - 25,24 - 33
47,2024-05-01,Radish,24,28 - 30,29 - 40
48,2024-05-01,Ridge Gourd,31,36 - 39,37 - 51
49,2024-05-01,Shallot (Pearl Onion),32,37 - 41,38 - 53
50,2024-05-01,Snake Gourd,27,31 - 34,32 - 45
51,2024-05-01,Sorrel Leaves,17,20 - 22,20 - 28
52,2024-05-01,Spinach,14,16 - 18,17 - 23
53,2024-05-01,Sweet Potato,36,41 - 46,43 - 59
54,2024-05-02,Onion Big,25,29 - 32,30 - 41
55,2024-05-02,Onion Small,32,37 - 41,38 - 53
56,2024-05-02,Tomato,24,28 - 30,29 - 40
57,2024-05-02,Green Chilli,43,49 - 55,52 - 71
58,2024-05-02,Beetroot,37,43 - 47,44 - 61
59,2024-05-02,Potato,28,32 - 36,34 - 46
60,2024-05-02,Raw Banana (Plantain),9,10 - 11,11 - 15
61,2024-05-02,Amaranth Leaves,15,17 - 19,18 - 25
62,2024-05-02,Amla,60,69 - 76,72 - 99
63,2024-05-02,Ash gourd,24,28 - 30,29 - 40
64,2024-05-02,Baby Corn,53,61 - 67,64 - 87
65,2024-05-02,Banana Flower,17,20 - 22,20 - 28
66,2024-05-02,Capsicum,44,51 - 56,53 - 73
67,2024-05-02,Bitter Gourd,33,38 - 42,40 - 54
68,2024-05-02,Bottle Gourd,25,29 - 32,30 - 41
69,2024-05-02,Butter Beans,47,54 - 60,56 - 78
70,2024-05-02,Broad Beans,32,37 - 41,38 - 53
71,2024-05-02,Cabbage,22,25 - 28,26 - 36
72,2024-05-02,Carrot,46,53 - 58,55 - 76
73,2024-05-02,Cauliflower,27,31 - 34,32 - 45
